date,demand,RRP,school_day,holiday
2015-12-12,106139.41,34.14289792,Y,N
2015-12-13,105218.515,40.30682955,Y,N
2015-12-14,125784.96,51.74782952,Y,N
2015-12-15,129077.41,51.66083017,Y,N
2015-12-16,135930.08,78.64591999,Y,N
2015-12-17,152366.3,188.0861252,Y,N
2015-12-18,158052.89,81.19248625,N,N
2015-12-19,154924.89,69.32882082,N,N
2015-12-20,133421.03,54.64980429,N,N
2015-12-21,113802.21,49.62125192,N,N
2015-12-22,119477.515,37.53130427,N,N
2015-12-23,126553.115,39.13822083,N,N
2015-12-24,134583.25,50.81827517,N,N
2015-12-25,119950.37,22.11558624,N,Y
2015-12-26,95093.295,14.96710809,N,Y
2015-12-27,96394.94,19.82318359,N,N
2015-12-28,100048.44,20.09753992,N,Y
2015-12-29,111647.54,27.33170157,N,N
2015-12-30,128552.135,43.82687479,N,N
2015-12-31,146473.835,101.9915588,N,N
2016-01-01,116040.925,32.52767336,N,Y
2016-01-02,99622.64,21.89456076,N,N
2016-01-03,97656.445,19.8953848,N,N
2016-01-04,110932.505,25.44347924,N,N
2016-01-05,117873.58,29.91718737,N,N
2016-01-06,115064.265,31.79025205,N,N
2016-01-07,112392.695,34.44506917,N,N
2016-01-08,111879.54,36.88815616,N,N
2016-01-09,105482.695,41.98782325,N,N
2016-01-10,113049.145,44.47978703,N,N
2016-01-11,141133.085,88.11610079,N,N
2016-01-12,135006.11,62.53997502,N,N
2016-01-13,160011.075,545.7378196,N,N
2016-01-14,120396.335,36.37140419,N,N
2016-01-15,113244.79,30.20390307,N,N
2016-01-16,103046.17,23.67497011,N,N
2016-01-17,114097.07,29.15326195,N,N
2016-01-18,147817.585,43.40935802,N,N
2016-01-19,148612.37,49.25793525,N,N
2016-01-20,142471.51,53.30039877,N,N
2016-01-21,139450.615,55.47008954,N,N
2016-01-22,129135.185,42.33773277,N,N
2016-01-23,108097.845,26.97502333,N,N
2016-01-24,103396.3,26.41220907,N,N
2016-01-25,112649.6,27.59659014,N,N
2016-01-26,110152.815,25.27669394,N,Y
2016-01-27,133718.035,32.75984945,N,N
2016-01-28,134169.83,33.32496816,Y,N
2016-01-29,123615.21,32.69384721,Y,N
2016-01-30,107579.345,23.84687233,Y,N
2016-01-31,101279.65,23.47662571,Y,N
2016-02-01,121942.895,31.58876665,Y,N
2016-02-02,133989.155,35.64081616,Y,N
2016-02-03,122594.475,27.87604398,Y,N
2016-02-04,119919.605,22.3923782,Y,N
2016-02-05,126330.55,26.8545022,Y,N
2016-02-06,123737.01,28.72453436,Y,N
2016-02-07,124436.81,33.49284634,Y,N
2016-02-08,129327.225,33.9086031,Y,N
2016-02-09,131271.265,38.70567585,Y,N
2016-02-10,132265.005,41.37607962,Y,N
2016-02-11,131003.79,34.38993372,Y,N
2016-02-12,133845.52,40.62665069,Y,N
2016-02-13,120839.995,32.23139796,Y,N
2016-02-14,104364.735,26.26726968,Y,N
2016-02-15,120863.325,32.56207053,Y,N
2016-02-16,117062.035,29.58535343,Y,N
2016-02-17,119481.79,32.50451406,Y,N
2016-02-18,125964.185,47.40430914,Y,N
2016-02-19,122991.66,43.69489681,Y,N
2016-02-20,105911.71,26.30452433,Y,N
2016-02-21,107884.355,24.60568176,Y,N
2016-02-22,130527.325,55.28023145,Y,N
2016-02-23,156924.83,66.96065647,Y,N
2016-02-24,152419.415,72.24069994,Y,N
2016-02-25,138064.855,43.38678606,Y,N
2016-02-26,122575.935,35.55254287,Y,N
2016-02-27,110545.84,32.10570563,Y,N
2016-02-28,105781.985,30.39844268,Y,N
2016-02-29,125400.08,41.25807901,Y,N
2016-03-01,142242.595,96.28761922,Y,N
2016-03-02,145182.98,53.91107114,Y,N
2016-03-03,136226.12,49.55216251,Y,N
2016-03-04,149376.57,43.22741726,Y,N
2016-03-05,124692.315,37.4253858,Y,N
2016-03-06,117707.95,41.3206478,Y,N
2016-03-07,131465.825,41.14950256,Y,N
2016-03-08,160285.015,253.0320323,Y,N
2016-03-09,152599.125,66.41160339,Y,N
2016-03-10,135635.705,46.52161235,Y,N
2016-03-11,141414.35,49.79353314,Y,N
2016-03-12,119690.755,37.32101386,Y,N
2016-03-13,111329.62,30.0869621,Y,N
2016-03-14,105388.57,24.79442999,Y,Y
2016-03-15,123073.98,28.46012769,Y,N
2016-03-16,135047.625,54.35305581,Y,N
2016-03-17,143184.805,49.4911015,Y,N
2016-03-18,118189.72,33.97202362,Y,N
2016-03-19,105484.1,48.71748998,Y,N
2016-03-20,100394.06,47.17506412,Y,N
2016-03-21,117796.715,49.67654935,Y,N
2016-03-22,124081.46,56.87274821,Y,N
2016-03-23,126074.895,44.26219138,Y,N
2016-03-24,125072.73,42.35494432,N,N
2016-03-25,101740.89,30.22185548,N,Y
2016-03-26,102726.745,30.53949743,N,Y
2016-03-27,98324.645,25.86103521,N,Y
2016-03-28,102746.6,27.58617697,N,Y
2016-03-29,118281.13,31.07095135,N,N
2016-03-30,122625.21,29.06251382,N,N
2016-03-31,122964.715,21.90202897,N,N
2016-04-01,116321.6,14.49079665,N,N
2016-04-02,102832.72,13.56898646,N,N
2016-04-03,102084,15.80399954,N,N
2016-04-04,120445.735,38.46855031,N,N
2016-04-05,120371.235,21.42320815,N,N
2016-04-06,125657.125,45.52080455,N,N
2016-04-07,125663.33,52.13196852,N,N
2016-04-08,124266.885,75.35781074,N,N
2016-04-09,109044.9,73.13914453,N,N
2016-04-10,99845.345,35.12054575,N,N
2016-04-11,118614.005,62.30651081,N,N
2016-04-12,123808.76,62.9645525,Y,N
2016-04-13,124686.63,77.21022318,Y,N
2016-04-14,126519.065,92.92520704,Y,N
2016-04-15,124721.485,81.71784794,Y,N
2016-04-16,108525.965,51.52896856,Y,N
2016-04-17,100526.305,39.12944308,Y,N
2016-04-18,123441.82,61.62911492,Y,N
2016-04-19,126846.445,54.57119179,Y,N
2016-04-20,125204.785,40.0536623,Y,N
2016-04-21,125514.14,55.74046858,Y,N
2016-04-22,120124.305,52.29655518,Y,N
2016-04-23,108773.745,36.7345262,Y,N
2016-04-24,105642.28,30.68045485,Y,N
2016-04-25,104072.435,39.08786122,Y,Y
2016-04-26,117437.665,56.43641514,Y,N
2016-04-27,118531.5,19.4111381,Y,N
2016-04-28,126847.02,60.58197893,Y,N
2016-04-29,122054.13,51.74834177,Y,N
2016-04-30,103505.195,27.10790618,Y,N
2016-05-01,98873.535,31.87421762,Y,N
2016-05-02,116969.63,37.34851758,Y,N
2016-05-03,119014.445,22.24291908,Y,N
2016-05-04,124525.185,47.7538426,Y,N
2016-05-05,118192.055,27.23225297,Y,N
2016-05-06,120421.32,64.31705658,Y,N
2016-05-07,106052.64,46.62702428,Y,N
2016-05-08,103487.28,59.14011232,Y,N
2016-05-09,119781.135,100.8140427,Y,N
2016-05-10,119611.88,36.9801066,Y,N
2016-05-11,123616.28,59.84988166,Y,N
2016-05-12,120693.53,53.79609684,Y,N
2016-05-13,118800.07,52.36555156,Y,N
2016-05-14,101945.995,28.27876737,Y,N
2016-05-15,99697.62,37.07654106,Y,N
2016-05-16,121182.695,41.91676316,Y,N
2016-05-17,124209.405,68.33332655,Y,N
2016-05-18,124352.215,70.58882764,Y,N
2016-05-19,124392.29,44.40335829,Y,N
2016-05-20,127705.84,79.7959074,Y,N
2016-05-21,112336.78,45.74527142,Y,N
2016-05-22,101618.98,24.19265246,Y,N
2016-05-23,121424.42,10.80151908,Y,N
2016-05-24,131916.405,45.21384715,Y,N
2016-05-25,132170.05,66.25853483,Y,N
2016-05-26,137080.875,99.42483313,Y,N
2016-05-27,134317.62,68.19342854,Y,N
2016-05-28,119938.795,81.99013458,Y,N
2016-05-29,118751.965,68.71547404,Y,N
2016-05-30,134983.955,115.7846736,Y,N
2016-05-31,140402.15,156.4647226,Y,N
2016-06-01,141195.03,168.8527592,Y,N
2016-06-02,141292.56,180.9103503,Y,N
2016-06-03,137717.255,175.8546299,Y,N
2016-06-04,122764.33,126.7499719,Y,N
2016-06-05,116052.805,122.7887776,Y,N
2016-06-06,134829.755,107.4456121,Y,N
2016-06-07,135306.005,88.32696291,Y,N
2016-06-08,137305.355,91.3156602,Y,N
2016-06-09,132859.305,50.23897194,Y,N
2016-06-10,132209.515,47.42579878,Y,N
2016-06-11,120753.43,55.59096958,Y,N
2016-06-12,122771.53,77.21528799,Y,N
2016-06-13,122106.95,95.06477463,Y,Y
2016-06-14,138466.56,90.84510926,Y,N
2016-06-15,140904.59,92.41624585,Y,N
2016-06-16,140741.165,89.92914895,Y,N
2016-06-17,138023.11,99.57367451,Y,N
2016-06-18,123162.185,62.93401613,Y,N
2016-06-19,119662.165,79.38482177,Y,N
2016-06-20,134435.115,114.875078,Y,N
2016-06-21,137511.315,62.15476411,Y,N
2016-06-22,133813.285,58.75903858,Y,N
2016-06-23,136740.005,78.31898019,Y,N
2016-06-24,144658.38,67.9384962,N,N
2016-06-25,131730.835,99.7632508,N,N
2016-06-26,126455.935,120.4411006,N,N
2016-06-27,148639.995,127.3466076,N,N
2016-06-28,142146.31,110.2803903,N,N
2016-06-29,136071.965,80.12524308,N,N
2016-06-30,141078.46,115.1178955,N,N
2016-07-01,136676.715,117.7120479,N,N
2016-07-02,118683.565,90.45652378,N,N
2016-07-03,112556.405,68.59708917,N,N
2016-07-04,135712.245,124.1368856,N,N
2016-07-05,142401.795,147.1876919,N,N
2016-07-06,134056.095,116.6821116,N,N
2016-07-07,138768.045,176.9120362,N,N
2016-07-08,136690.05,114.844203,N,N
2016-07-09,122369.535,105.5485761,N,N
2016-07-10,119218.23,36.16721233,N,N
2016-07-11,128207.125,44.85808004,N,N
2016-07-12,137582.195,49.15948572,Y,N
2016-07-13,145728.26,65.91496492,Y,N
2016-07-14,144103.705,76.11745262,Y,N
2016-07-15,141166.85,79.50760048,Y,N
2016-07-16,120659.15,73.69441877,Y,N
2016-07-17,113418.125,48.7884053,Y,N
2016-07-18,127367.015,43.8915187,Y,N
2016-07-19,137028.05,49.45378979,Y,N
2016-07-20,136850.14,52.33155194,Y,N
2016-07-21,136127.125,44.92653284,Y,N
2016-07-22,128777.82,21.09171887,Y,N
2016-07-23,119888.575,62.70928693,Y,N
2016-07-24,120126.905,52.22700853,Y,N
2016-07-25,138134.635,37.98018661,Y,N
2016-07-26,146465.69,47.97124596,Y,N
2016-07-27,143209.755,36.39746278,Y,N
2016-07-28,142341.635,41.56189875,Y,N
2016-07-29,139822.93,33.86968192,Y,N
2016-07-30,121548.535,24.84952843,Y,N
2016-07-31,114481.28,33.77825209,Y,N
2016-08-01,137934.845,45.97912937,Y,N
2016-08-02,137301.69,48.59799058,Y,N
2016-08-03,140922.715,58.02954936,Y,N
2016-08-04,142671.51,51.56528219,Y,N
2016-08-05,145491.33,70.2031165,Y,N
2016-08-06,130907.095,54.3980783,Y,N
2016-08-07,120379.285,32.88478992,Y,N
2016-08-08,138506.45,35.11782073,Y,N
2016-08-09,132819.535,29.29351974,Y,N
2016-08-10,130616.67,22.41944079,Y,N
2016-08-11,138368.4,39.80646362,Y,N
2016-08-12,134885.67,41.09220007,Y,N
2016-08-13,120382.805,38.81095608,Y,N
2016-08-14,113066.245,33.06116,Y,N
2016-08-15,127906.24,39.83893843,Y,N
2016-08-16,124975.11,24.45390447,Y,N
2016-08-17,132561.22,40.89160699,Y,N
2016-08-18,123434.505,27.47109329,Y,N
2016-08-19,132569.74,27.60134081,Y,N
2016-08-20,121052.06,25.00246694,Y,N
2016-08-21,119118.545,38.91325563,Y,N
2016-08-22,139203.5,59.99534067,Y,N
2016-08-23,138640.39,73.18959371,Y,N
2016-08-24,141122.795,114.0039598,Y,N
2016-08-25,139724.025,74.66305514,Y,N
2016-08-26,139920.545,67.6277533,Y,N
2016-08-27,119573.22,31.80817961,Y,N
2016-08-28,114832.425,29.44768103,Y,N
2016-08-29,125055.69,39.1423789,Y,N
2016-08-30,133748.44,53.186931,Y,N
2016-08-31,128834.065,32.5590174,Y,N
2016-09-01,134246.165,46.80878786,Y,N
2016-09-02,135273.325,52.63679288,Y,N
2016-09-03,118621.96,35.27078286,Y,N
