date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-07-05,117312.925,24.00328983,8.2,14.9,8.2,2,N,N
2015-07-06,143176.335,36.04178884,7.5,11.5,4.4,1.6,N,N
2015-07-07,143984.39,37.29751745,7.4,14.2,7,2.2,N,N
2015-07-08,141696.295,40.58380685,4.9,14.8,8.5,0.2,N,N
2015-07-09,141994.375,38.51727354,6.5,13.4,3.5,0,N,N
2015-07-10,136884.095,32.28845537,7.6,14.3,5.8,0,N,N
2015-07-11,123971.705,30.62181991,10.9,13.1,3.7,0.2,N,N
2015-07-12,124790.695,33.15211905,3.4,12.3,2.9,1.6,N,N
2015-07-13,138680.335,47.52630153,6.1,12.7,4.2,28.4,N,N
2015-07-14,150671.105,45.25558281,8.1,9.8,4.8,3.8,Y,N
2015-07-15,151270.54,50.4974182,5.8,10.5,7.4,3.6,Y,N
2015-07-16,144797.98,40.47170764,6.6,12.3,8.1,0.2,Y,N
2015-07-17,142965.48,49.21850696,7.3,12.3,6.5,2.4,Y,N
2015-07-18,130187.445,44.09776708,6.1,11.5,9.5,0.4,Y,N
2015-07-19,131141.355,43.57342248,0.6,12.1,9.7,0,Y,N
2015-07-20,146154.37,41.79671269,1.8,14.7,9.7,0,Y,N
2015-07-21,138931.81,28.89548968,4.2,17,8.6,0,Y,N
2015-07-22,138418.835,33.70727752,11.4,16.6,6,1.6,Y,N
2015-07-23,142316.295,33.97518484,5.1,16.1,9.5,0,Y,N
2015-07-24,136837.155,27.6698245,7.6,15,4.4,1.2,Y,N
2015-07-25,121021.425,22.2391885,9.4,13.3,7.7,0.8,Y,N
2015-07-26,120396.735,22.38424622,8.1,11.6,8.5,3.2,Y,N
2015-07-27,142470.43,35.17621745,6.2,13.9,9.6,0.8,Y,N
2015-07-28,144008.37,40.75298793,7.9,14.4,10.2,0,Y,N
2015-07-29,142637.76,37.23752124,8.4,14,9,0,Y,N
2015-07-30,143544.11,29.12283736,8.6,12.3,4.5,0,Y,N
2015-07-31,139584.955,35.05977109,4.1,14,10.8,0.6,Y,N
2015-08-01,125032.57,29.88013959,6.5,11.4,4.2,0.2,Y,N
2015-08-02,117638.065,23.37418658,7.8,14.9,8.3,0,Y,N
2015-08-03,141451.725,38.12797815,7.3,10.8,9.4,6.4,Y,N
2015-08-04,147550.185,44.67333638,3.5,11.3,7.1,0,Y,N
2015-08-05,142325.99,42.5957224,6.6,10.8,8,1,Y,N
2015-08-06,143642.355,48.94517285,7.1,12.8,7,1.6,Y,N
2015-08-07,143060.33,42.78284919,9,13.1,9,1.4,Y,N
2015-08-08,125830.535,39.11605998,8.8,12.6,6.6,0.4,Y,N
2015-08-09,120008.455,29.44132945,7.7,13.3,6.9,0,Y,N
2015-08-10,130978.095,30.09105237,8.3,16,10.7,0.2,Y,N
2015-08-11,135616.125,31.94331353,7.8,14.8,11.7,0.8,Y,N
2015-08-12,138900.5,37.33841387,9.3,14.8,9.2,0,Y,N
2015-08-13,140905.85,36.73054058,8.4,13,7,0.2,Y,N
2015-08-14,137838.925,35.43773739,10.4,15.3,7.3,0,Y,N
2015-08-15,122088.76,34.08615436,10,14.9,10.9,0.4,Y,N
2015-08-16,116648.77,25.31764941,4.7,17,9.5,0.2,Y,N
2015-08-17,137008.71,31.79373023,6.8,12.2,9.9,2.4,Y,N
2015-08-18,148093.96,45.28668706,6.1,11.1,9.8,0.6,Y,N
2015-08-19,144024.66,39.23515304,5.5,12.7,10.2,0,Y,N
2015-08-20,131575.79,30.54500061,6.1,17.1,12.7,0,Y,N
2015-08-21,126570.47,38.88847204,10.9,18.7,4.1,0,Y,N
2015-08-22,112275.15,32.23832167,11.8,18.8,11.8,0,Y,N
2015-08-23,111793.015,29.44134872,7.9,16.3,13.1,0,Y,N
2015-08-24,128868.255,26.61266289,8.5,14.5,9.6,0,Y,N
2015-08-25,135051.545,28.80467771,9.5,14.3,8.1,0,Y,N
2015-08-26,135914.68,37.13177468,9.2,14.6,7.8,0.2,Y,N
2015-08-27,141159.77,41.60533545,9.8,11.7,2.7,0.8,Y,N
2015-08-28,134755.505,38.17912007,8.1,13.2,12.2,17.4,Y,N
2015-08-29,124448.5,35.47451361,6.3,11.7,9.1,1.8,Y,N
2015-08-30,116744.215,42.41417956,7.9,12.5,14.3,2.2,Y,N
2015-08-31,137724.895,50.27328749,8.1,13,11.5,0,Y,N
2015-09-01,134116.77,50.14578439,5.1,16.2,15.7,0,Y,N
2015-09-02,132794.715,49.03831254,8,18.8,10.5,0,Y,N
2015-09-03,132096.335,45.54626467,10.6,14,8,4.4,Y,N
2015-09-04,131384.88,65.73690671,8.7,13.7,13,0,Y,N
2015-09-05,115799.32,57.1775692,10.2,14,14.8,0,Y,N
2015-09-06,109641.375,40.58176552,5.8,16.6,11.8,0,Y,N
2015-09-07,131619.365,38.52697878,8.9,13.6,9.2,3.6,Y,N
2015-09-08,136340.7,41.71038161,8.8,12.8,11.1,2,Y,N
2015-09-09,132977.45,48.12810484,10,15.3,11.4,0,Y,N
2015-09-10,133541.98,48.91956662,10,15.7,17.3,0,Y,N
2015-09-11,123968.9,36.08846518,5.1,20.1,17.7,0,Y,N
2015-09-12,108790.005,37.65455156,12.2,21.7,10.2,0,Y,N
2015-09-13,99161.765,30.35960587,13.2,25.5,17.1,0,Y,N
2015-09-14,116574.17,32.34565421,15.4,26.7,17.8,0,Y,N
2015-09-15,123750.5,34.50652241,10.8,15.9,15,15.8,Y,N
2015-09-16,131795.485,38.96606247,8.9,14.8,17.6,0,Y,N
2015-09-17,131050.675,40.63926437,9,14.3,12.4,0.4,Y,N
2015-09-18,130764.585,40.63008102,10.5,14.7,8.1,0,N,N
2015-09-19,112377.185,47.82671203,6.5,21.3,17,0,N,N
2015-09-20,103708.925,32.85772784,8.5,22.9,17.3,0,N,N
2015-09-21,120096.71,44.95597741,14,18.1,6.7,0,N,N
2015-09-22,127755.095,99.47616671,7.6,12.7,17.4,4.4,N,N
2015-09-23,131866.73,49.76861067,8.5,12.6,20.3,0,N,N
2015-09-24,130937.625,54.98052681,5.1,14.3,18.2,0,N,N
2015-09-25,124278.93,51.08100179,5.8,19.1,20.2,0,N,N
2015-09-26,111064.49,48.78936994,6.6,17.9,20.1,0,N,N
2015-09-27,106431.815,43.93161371,9.8,20.2,19.6,0,N,N
2015-09-28,121796.715,42.02601538,8.3,21.4,13.6,0,N,N
2015-09-29,126691.8,37.64010125,9,16.9,13.5,0,N,N
2015-09-30,129641.245,41.98096898,11.5,15.9,16.8,0,N,N
2015-10-01,124356.415,34.80976299,6,21.6,21.7,0,N,N
2015-10-02,107544.145,38.30698393,9.9,28.6,21.7,0,N,Y
2015-10-03,100598.55,30.78069241,16.3,31.3,22.2,0,N,N
2015-10-04,103828.88,36.56069849,13.9,24.9,22.2,0,N,N
2015-10-05,125194.87,38.97200519,12.7,34.4,22,0,N,N
2015-10-06,127225.245,36.24445144,15.5,35.8,18.9,0,Y,N
2015-10-07,117282.765,31.59640663,11.8,16.2,23.6,0,Y,N
2015-10-08,122121.325,36.14098237,7.6,18.6,23.3,0,Y,N
2015-10-09,126989.905,41.41507492,10.9,29.9,22,0,Y,N
2015-10-10,112604.825,34.80317686,17.5,29.2,11.9,0,Y,N
2015-10-11,105376.335,29.90281083,16.9,19.2,19.6,0.4,Y,N
2015-10-12,120916.215,36.35362381,11.3,16.1,13.4,0.6,Y,N
2015-10-13,122830.38,41.49816809,7.9,17.6,24.3,0.4,Y,N
2015-10-14,126919.195,45.5634402,11.2,28.6,24.4,0,Y,N
